id,support_titre,article_titre,lien_web,screenshot_path,content_screenshot_path,screenshot_taken_at,screenshot_success,content_screenshot_success,processing_time,domain,error,stopped
18721025,13EMEREGION.MA,شروع مطار المنارة بمراكش بنقل منظومة المسح الضوئي والبوابات الأمنية من مداخل المطار لتسريع خروج المسافرين,https://13emeregion.ma/%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%B7%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B1%D8%A9-%D8%A8%D9%85%D8%B1%D8%A7%D9%83%D8%B4-%D8%A8%D9%86%D9%82%D9%84-%D9%85%D9%86%D8%B8%D9%88%D9%85%D8%A9-%D8%A7/,,C:/Users/hp/Desktop/Imperium solutions/AutoscreenApp_Desktop/tool-extraction-master/cnt\article_18721025.jpg,2025-09-14T22:36:07.348464,False,True,109.98101806640625,13emeregion.ma,,False
18796737,1001 INFOS.NET,L’aéroport Mohammed V de Casablanca se dote d’un terminal futuriste,https://1001infos.net/maroc/laeroport-mohammed-v-de-casablanca-se-dote-dun-terminal-futuriste/,,C:/Users/hp/Desktop/Imperium solutions/AutoscreenApp_Desktop/tool-extraction-master/cnt\article_18796737.jpg,2025-09-14T22:36:08.173657,False,True,110.83142280578613,1001infos.net,,False
18614886,1MINTV.MA ,المغرب يطلق استراتيجية “مطارات 2030” لتحديث النقل الجوي,https://1mintv.ma/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%8A%D8%B7%D9%84%D9%82-%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AA%D9%8A%D8%AC%D9%8A%D8%A9-%D9%85%D8%B7%D8%A7%D8%B1%D8%A7%D8%AA-2030-%D9%84%D8%AA%D8%AD%D8%AF%D9%8A/,,C:/Users/hp/Desktop/Imperium solutions/AutoscreenApp_Desktop/tool-extraction-master/cnt\article_18614886.jpg,2025-09-14T22:36:43.735374,False,True,146.28935480117798,1mintv.ma,,False
